[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-10-48-28-982432-DESKTOP-Kilogram-931
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [976]
[mavros_node-1] [INFO] [1785289709.217921472] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785289709.218014039] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785289709.218021310] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785289709.218024623] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785289709.218027456] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785289709.229400601] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785289709.229450008] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785289709.229461521] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785289709.229465388] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785289709.229494629] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785289709.279737040] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785289709.279795807] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785289709.280610059] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785289709.280670481] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785289709.280689343] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785289709.284249793] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785289709.289615334] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785289709.314241304] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785289709.314310541] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785289709.343539541] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785289709.343607068] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785289709.349483391] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785289709.349538742] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785289709.354823895] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785289709.354887630] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785289709.359934890] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785289709.359994464] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785289709.365476094] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785289709.365531784] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785289709.375413710] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785289709.375478021] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785289709.381190745] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785289709.381277252] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785289709.389191020] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785289709.389269866] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785289709.389283327] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785289709.397418835] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785289709.397481244] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785289709.403993742] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785289709.404043388] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785289709.414225539] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785289709.414278647] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785289709.427029717] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785289709.427101749] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785289709.436803271] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785289709.436888164] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785289709.451286577] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785289709.451367067] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785289709.467028200] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785289709.467109633] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785289709.474293474] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785289709.474356920] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785289709.483159519] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785289709.483233703] [mavros.mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1785289709.492151958] [mavros.mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1785289709.492222340] [mavros.mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1785289709.501887173] [mavros.mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1785289709.501958877] [mavros.mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1785289709.514791450] [mavros.mavros]: Plugin hil created
[mavros_node-1] [INFO] [1785289709.514865779] [mavros.mavros]: Plugin hil initialized
[mavros_node-1] [INFO] [1785289709.525049582] [mavros.mavros]: Plugin home_position created
[mavros_node-1] [INFO] [1785289709.525117381] [mavros.mavros]: Plugin home_position initialized
[mavros_node-1] [INFO] [1785289709.537456788] [mavros.mavros]: Plugin imu created
[mavros_node-1] [INFO] [1785289709.537530660] [mavros.mavros]: Plugin imu initialized
[mavros_node-1] [INFO] [1785289709.549783938] [mavros.mavros]: Plugin landing_target created
[mavros_node-1] [INFO] [1785289709.549839791] [mavros.mavros]: Plugin landing_target initialized
[mavros_node-1] [INFO] [1785289709.561816338] [mavros.mavros]: Plugin local_position created
[mavros_node-1] [INFO] [1785289709.561881995] [mavros.mavros]: Plugin local_position initialized
[mavros_node-1] [INFO] [1785289709.573638523] [mavros.mavros]: Plugin log_transfer created
[mavros_node-1] [INFO] [1785289709.573715432] [mavros.mavros]: Plugin log_transfer initialized
[mavros_node-1] [INFO] [1785289709.582523280] [mavros.mavros]: Plugin mag_calibration_status created
[mavros_node-1] [INFO] [1785289709.582577741] [mavros.mavros]: Plugin mag_calibration_status initialized
[mavros_node-1] [INFO] [1785289709.594013705] [mavros.mavros]: Plugin manual_control created
[mavros_node-1] [INFO] [1785289709.594067072] [mavros.mavros]: Plugin manual_control initialized
[mavros_node-1] [INFO] [1785289709.603890659] [mavros.mavros]: Plugin mocap_pose_estimate created
[mavros_node-1] [INFO] [1785289709.603950066] [mavros.mavros]: Plugin mocap_pose_estimate initialized
[mavros_node-1] [INFO] [1785289709.616349360] [mavros.mavros]: Plugin mount_control created
[mavros_node-1] [INFO] [1785289709.616463548] [mavros.mavros]: Plugin mount_control initialized
[mavros_node-1] [INFO] [1785289709.627016833] [mavros.mavros]: Plugin nav_controller_output created
[mavros_node-1] [INFO] [1785289709.627095054] [mavros.mavros]: Plugin nav_controller_output initialized
[mavros_node-1] [INFO] [1785289709.637799020] [mavros.mavros]: Plugin obstacle_distance created
[mavros_node-1] [INFO] [1785289709.637950936] [mavros.mavros]: Plugin obstacle_distance initialized
