[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-10-51-08-759503-DESKTOP-Kilogram-912
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [941]
[mavros_node-1] [INFO] [1785289868.975309066] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785289868.975406577] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785289868.975414745] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785289868.975418542] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785289868.975421897] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785289868.986187336] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785289868.986234029] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785289868.986245145] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785289868.986248866] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785289868.986281495] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785289869.030178205] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785289869.030237487] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785289869.030565569] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785289869.030592301] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785289869.030604583] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785289869.033998488] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785289869.040028740] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785289869.064319376] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785289869.064387978] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785289869.093507925] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785289869.093572661] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785289869.098861154] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785289869.098918352] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785289869.104086075] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785289869.104136963] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785289869.109193650] [mavros.mavros]: Plugin camera created
