[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-02-37-15-927647-DESKTOP-Kilogram-895
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [930]
[mavros_node-1] [INFO] [1785260236.136304780] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785260236.136402895] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785260236.136410411] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785260236.136414065] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785260236.136416932] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785260236.147206605] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785260236.147254593] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785260236.147269832] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785260236.147273735] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785260236.147303905] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785260236.196105038] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785260236.196170740] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785260236.196469901] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785260236.196490605] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785260236.196505980] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785260236.199995338] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785260236.205701409] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785260236.230283066] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785260236.230358045] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785260236.259754331] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785260236.259822392] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785260236.265556263] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785260236.265618770] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785260236.270964444] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785260236.271024326] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785260236.276665343] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785260236.276720489] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785260236.282691409] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785260236.282748242] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785260236.293588379] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785260236.293694892] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785260236.301596804] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785260236.301670084] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785260236.310547364] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785260236.310635584] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785260236.310647186] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785260236.319183419] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785260236.319264043] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785260236.326752388] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785260236.326817169] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785260236.336101539] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785260236.336171781] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785260236.349950780] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785260236.350002272] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785260236.359959550] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785260236.360029364] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785260236.373313835] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785260236.373396598] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785260236.388814288] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785260236.388896126] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785260236.396557072] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785260236.396615349] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785260236.405401633] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785260236.405463286] [mavros.mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1785260236.414276587] [mavros.mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1785260236.414342868] [mavros.mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1785260236.423333276] [mavros.mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1785260236.423384582] [mavros.mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1785260236.435626312] [mavros.mavros]: Plugin hil created
[mavros_node-1] [INFO] [1785260236.435694304] [mavros.mavros]: Plugin hil initialized
[mavros_node-1] [INFO] [1785260236.444944982] [mavros.mavros]: Plugin home_position created
[mavros_node-1] [INFO] [1785260236.445026910] [mavros.mavros]: Plugin home_position initialized
[mavros_node-1] [INFO] [1785260236.456356118] [mavros.mavros]: Plugin imu created
[mavros_node-1] [INFO] [1785260236.456420744] [mavros.mavros]: Plugin imu initialized
[mavros_node-1] [INFO] [1785260236.467708522] [mavros.mavros]: Plugin landing_target created
[mavros_node-1] [INFO] [1785260236.467766043] [mavros.mavros]: Plugin landing_target initialized
[mavros_node-1] [INFO] [1785260236.480207735] [mavros.mavros]: Plugin local_position created
[mavros_node-1] [INFO] [1785260236.480271406] [mavros.mavros]: Plugin local_position initialized
[mavros_node-1] [INFO] [1785260236.494159895] [mavros.mavros]: Plugin log_transfer created
[mavros_node-1] [INFO] [1785260236.494249967] [mavros.mavros]: Plugin log_transfer initialized
[mavros_node-1] [INFO] [1785260236.506762827] [mavros.mavros]: Plugin mag_calibration_status created
[mavros_node-1] [INFO] [1785260236.506870248] [mavros.mavros]: Plugin mag_calibration_status initialized
[mavros_node-1] [INFO] [1785260236.518759830] [mavros.mavros]: Plugin manual_control created
[mavros_node-1] [INFO] [1785260236.518845169] [mavros.mavros]: Plugin manual_control initialized
[mavros_node-1] [INFO] [1785260236.529853415] [mavros.mavros]: Plugin mocap_pose_estimate created
[mavros_node-1] [INFO] [1785260236.529931804] [mavros.mavros]: Plugin mocap_pose_estimate initialized
[mavros_node-1] [INFO] [1785260236.542656203] [mavros.mavros]: Plugin mount_control created
[mavros_node-1] [INFO] [1785260236.542711971] [mavros.mavros]: Plugin mount_control initialized
[mavros_node-1] [INFO] [1785260236.553631246] [mavros.mavros]: Plugin nav_controller_output created
[mavros_node-1] [INFO] [1785260236.553686482] [mavros.mavros]: Plugin nav_controller_output initialized
[mavros_node-1] [INFO] [1785260236.564349535] [mavros.mavros]: Plugin obstacle_distance created
[mavros_node-1] [INFO] [1785260236.564398886] [mavros.mavros]: Plugin obstacle_distance initialized
[mavros_node-1] [INFO] [1785260236.575806582] [mavros.mavros]: Plugin obstacle_distance_3d created
[mavros_node-1] [INFO] [1785260236.575860247] [mavros.mavros]: Plugin obstacle_distance_3d initialized
[mavros_node-1] [INFO] [1785260236.589177228] [mavros.mavros]: Plugin odometry created
[mavros_node-1] [INFO] [1785260236.589252885] [mavros.mavros]: Plugin odometry initialized
[mavros_node-1] [INFO] [1785260236.603371319] [mavros.mavros]: Plugin onboard_computer_status created
[mavros_node-1] [INFO] [1785260236.603424295] [mavros.mavros]: Plugin onboard_computer_status initialized
[mavros_node-1] [INFO] [1785260236.619363850] [mavros.mavros]: Plugin open_drone_id created
