[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-02-55-06-446107-DESKTOP-Kilogram-895
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [937]
[mavros_node-1] [INFO] [1785261306.705916115] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785261306.706013377] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785261306.706020451] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785261306.706023909] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785261306.706026994] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785261306.716521049] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785261306.716568203] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785261306.716579414] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785261306.716583419] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785261306.716615127] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785261306.759096301] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785261306.759158761] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785261306.759499511] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785261306.759521871] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785261306.759535625] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785261306.763135638] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785261306.768862547] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785261306.792640160] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785261306.792705662] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785261306.821583617] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785261306.821652118] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785261306.826975924] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785261306.827030228] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785261306.832302442] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785261306.832358191] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785261306.838078954] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785261306.838155696] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785261306.843501032] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785261306.843553653] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785261306.853524081] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785261306.853596649] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785261306.860036304] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785261306.860090793] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785261306.867722594] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785261306.867790210] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785261306.867800220] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785261306.874650664] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785261306.874712163] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785261306.880845328] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785261306.880909349] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785261306.892094311] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785261306.892148880] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785261306.903834736] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785261306.903898843] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785261306.912136067] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785261306.912208673] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785261306.925149651] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785261306.925234855] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785261306.941826070] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785261306.941914533] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785261306.950868275] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785261306.950945355] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785261306.962267739] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785261306.962359495] [mavros.mavros]: Plugin gps_rtk initialized
