[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-03-05-48-253496-DESKTOP-Kilogram-891
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [919]
[mavros_node-1] [INFO] [1785261948.485061033] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785261948.485154524] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785261948.485163219] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785261948.485167172] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785261948.485170266] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785261948.495276990] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785261948.495332100] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785261948.495344916] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785261948.495349180] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785261948.495386967] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785261948.546621772] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785261948.546688529] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785261948.547150252] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785261948.547189726] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785261948.547208330] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785261948.550950415] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785261948.555956268] [mavros.mavros]: UAS Executor started, threads: 8
