file,flight_dir,wall_utc,t_rel_s,boot_s,raw_dp_pa,t_dp_c,t_pitot_c,t_baro_c,t_amb_c,p_baro_pa,sens_dpres_off_pa,device_id,motor_max,current_a,groundspeed_mps,post_flight,session
log_158_2026-07-25-09-59-06.ulg,2026-07-25_flight05,2026-07-25T09:59:06,2.79,775.8,-32.08985900878906,31.87591552734375,nan,45.849998474121094,31.87591552734375,100989.0,-21.783477783203125,4728865,0.442,6.2,0.098,1,3
log_158_2026-07-25-09-59-06.ulg,2026-07-25_flight05,2026-07-25T09:59:06,3.79,776.8,-32.08985900878906,31.87591552734375,nan,45.869998931884766,31.87591552734375,100978.0,-21.783477783203125,4728865,0.6337,13.34,0.114,1,3
log_158_2026-07-25-09-59-06.ulg,2026-07-25_flight05,2026-07-25T09:59:06,4.79,777.8,-35.246219635009766,31.87591552734375,nan,45.88999938964844,31.87591552734375,100976.0,-21.783477783203125,4728865,0.7921,26.91,0.252,1,3
log_158_2026-07-25-09-59-06.ulg,2026-07-25_flight05,2026-07-25T09:59:06,5.81,778.8,-28.933496475219727,31.87591552734375,nan,45.88999938964844,31.87591552734375,100966.0,-21.783477783203125,4728865,0.9582,20.72,0.123,1,3
log_158_2026-07-25-09-59-06.ulg,2026-07-25_flight05,2026-07-25T09:59:06,6.78,779.8,-39.45470428466797,31.87591552734375,nan,45.88999938964844,31.87591552734375,100968.0,-21.783477783203125,4728865,1.0,12.07,0.138,1,3
log_158_2026-07-25-09-59-06.ulg,2026-07-25_flight05,2026-07-25T09:59:06,7.8,780.8,-41.55894470214844,31.87591552734375,nan,45.90999984741211,31.87591552734375,100972.0,-21.783477783203125,4728865,0.964,0.0,0.067,1,3
log_158_2026-07-25-09-59-06.ulg,2026-07-25_flight05,2026-07-25T09:59:06,8.8,781.8,-36.29833984375,31.87591552734375,nan,45.91999816894531,31.87591552734375,100972.0,-21.783477783203125,4728865,0.9941,0.0,0.13,1,3
log_158_2026-07-25-09-59-06.ulg,2026-07-25_flight05,2026-07-25T09:59:06,9.78,782.8,-42.61106491088867,31.87591552734375,nan,45.939998626708984,31.87591552734375,100975.0,-21.783477783203125,4728865,1.0,0.0,0.153,1,3
log_158_2026-07-25-09-59-06.ulg,2026-07-25_flight05,2026-07-25T09:59:06,10.77,783.8,-41.55894470214844,31.87591552734375,nan,45.95000076293945,31.87591552734375,100971.0,-21.783477783203125,4728865,1.0,0.0,0.151,1,3
log_158_2026-07-25-09-59-06.ulg,2026-07-25_flight05,2026-07-25T09:59:06,11.8,784.8,-41.55894470214844,31.87591552734375,nan,45.959999084472656,31.87591552734375,100970.0,-21.783477783203125,4728865,1.0,0.0,0.112,1,3
log_170_2026-07-25-10-23-24.ulg,2026-07-25_flight08,2026-07-25T10:23:24,4.8,333.1,-28.933496475219727,30.019540786743164,nan,45.779998779296875,30.019540786743164,100995.0,-21.783477783203125,4728865,0.4091,5.01,0.057,1,3
log_170_2026-07-25-10-23-24.ulg,2026-07-25_flight08,2026-07-25T10:23:24,5.79,334.1,-36.29833984375,30.019540786743164,nan,45.79999923706055,30.019540786743164,100998.0,-21.783477783203125,4728865,0.6224,10.69,0.027,1,3
log_170_2026-07-25-10-23-24.ulg,2026-07-25_flight08,2026-07-25T10:23:24,6.8,335.1,-36.29833984375,29.921836853027344,nan,45.81999969482422,29.921836853027344,100999.0,-21.783477783203125,4728865,0.7478,19.35,0.08,1,3
log_170_2026-07-25-10-23-24.ulg,2026-07-25_flight08,2026-07-25T10:23:24,22.79,351.1,-28.933496475219727,29.921836853027344,nan,45.87999725341797,29.921836853027344,100987.0,-21.783477783203125,4728865,1.0,0.0,0.53,1,3
log_170_2026-07-25-10-23-24.ulg,2026-07-25_flight08,2026-07-25T10:23:24,23.79,352.1,-32.08985900878906,30.019540786743164,nan,45.869998931884766,30.019540786743164,100983.0,-21.783477783203125,4728865,1.0,0.0,0.397,1,3
log_174_2026-07-25-10-32-20.ulg,2026-07-25_flight10,2026-07-25T10:32:20,2.79,259.2,-28.933496475219727,29.531021118164062,nan,46.07999801635742,29.531021118164062,100999.0,-21.783477783203125,4728865,0.4778,7.25,0.165,1,3
log_174_2026-07-25-10-32-20.ulg,2026-07-25_flight10,2026-07-25T10:32:20,3.79,260.2,-29.98561668395996,29.531021118164062,nan,46.09000015258789,29.531021118164062,101004.0,-21.783477783203125,4728865,0.6675,14.52,0.162,1,3
log_174_2026-07-25-10-32-20.ulg,2026-07-25_flight10,2026-07-25T10:32:20,4.78,261.2,-29.98561668395996,29.433317184448242,nan,46.099998474121094,29.433317184448242,101001.0,-21.783477783203125,4728865,0.8503,27.13,0.314,1,3
log_174_2026-07-25-10-32-20.ulg,2026-07-25_flight10,2026-07-25T10:32:20,5.8,262.2,-36.29833984375,29.335613250732422,nan,46.09000015258789,29.433317184448242,100986.0,-21.783477783203125,4728865,0.9991,34.2,0.408,1,3
log_174_2026-07-25-10-32-20.ulg,2026-07-25_flight10,2026-07-25T10:32:20,7.8,264.2,-11.047446250915527,29.433317184448242,nan,46.11000061035156,29.433317184448242,100968.0,-21.783477783203125,4728865,1.0,32.74,0.155,1,3
log_174_2026-07-25-10-32-20.ulg,2026-07-25_flight10,2026-07-25T10:32:20,9.8,266.2,-16.30805015563965,29.433317184448242,nan,46.11000061035156,29.335613250732422,100974.0,-21.783477783203125,4728865,0.9431,26.52,0.59,1,3
log_174_2026-07-25-10-32-20.ulg,2026-07-25_flight10,2026-07-25T10:32:20,14.8,271.2,-11.047446250915527,29.531021118164062,nan,46.05999755859375,29.531021118164062,100960.0,-21.783477783203125,4728865,0.9219,30.29,0.171,1,3
log_174_2026-07-25-10-32-20.ulg,2026-07-25_flight10,2026-07-25T10:32:20,26.79,283.2,-20.516530990600586,29.628725051879883,nan,45.849998474121094,29.628725051879883,101023.0,-21.783477783203125,4728865,1.0,24.66,0.193,1,3
log_174_2026-07-25-10-32-20.ulg,2026-07-25_flight10,2026-07-25T10:32:20,27.75,284.2,-32.08985900878906,29.628725051879883,nan,45.82999801635742,29.628725051879883,100993.0,-21.783477783203125,4728865,0.8919,0.0,0.06,1,3
log_174_2026-07-25-10-32-20.ulg,2026-07-25_flight10,2026-07-25T10:32:20,28.79,285.2,-29.98561668395996,29.628725051879883,nan,45.80999755859375,29.628725051879883,100993.0,-21.783477783203125,4728865,0.8812,0.0,0.108,1,3
log_174_2026-07-25-10-32-20.ulg,2026-07-25_flight10,2026-07-25T10:32:20,29.76,286.2,-33.1419792175293,29.628725051879883,nan,45.78999710083008,29.628725051879883,100991.0,-21.783477783203125,4728865,0.8345,0.0,0.11,1,3
log_174_2026-07-25-10-32-20.ulg,2026-07-25_flight10,2026-07-25T10:32:20,30.79,287.2,-29.98561668395996,29.628725051879883,nan,45.77000045776367,29.628725051879883,100994.0,-21.783477783203125,4728865,0.7904,0.0,0.111,1,3
log_174_2026-07-25-10-32-20.ulg,2026-07-25_flight10,2026-07-25T10:32:20,31.79,288.2,-29.98561668395996,29.628725051879883,nan,45.75,29.628725051879883,100997.0,-21.783477783203125,4728865,0.7713,0.0,0.096,1,3
log_174_2026-07-25-10-32-20.ulg,2026-07-25_flight10,2026-07-25T10:32:20,32.79,289.2,-29.98561668395996,29.628725051879883,nan,45.72999954223633,29.628725051879883,100994.0,-21.783477783203125,4728865,0.8463,0.0,0.077,1,3
log_174_2026-07-25-10-32-20.ulg,2026-07-25_flight10,2026-07-25T10:32:20,33.79,290.2,-32.08985900878906,29.628725051879883,nan,45.70000076293945,29.628725051879883,100994.0,-21.783477783203125,4728865,0.8681,0.0,0.083,1,3
log_190_2026-07-25-10-48-48.ulg,2026-07-25_flight14,2026-07-25T10:48:48,2.8,582.3,-35.246219635009766,28.94479751586914,nan,46.029998779296875,28.94479751586914,101014.0,-21.783477783203125,4728865,0.3559,2.21,0.118,1,3
