file,flight_dir,wall_utc,session,duration_s,n_dp,boot_s_first_dp,device_id,sens_dpres_off_pa,n_zero,n_hover,zero_raw_mean_pa,zero_raw_sd_pa,zero_t_dp_mean_c,t_dp_min_c,t_dp_max_c,t_dp_first_c,t_dp_last_c
log_140_2026-07-25-01-52-08.ulg,2026-07-25_manual,2026-07-25T01:52:08,0,0.9,1,48.6,4728865,-21.151594161987305,1,0,-36.298,,31.094,31.09,31.09,31.09,31.09
log_141_2026-07-25-01-55-08.ulg,2026-07-25_manual,2026-07-25T01:55:08,0,114.5,114,115.2,4728865,-21.151594161987305,5,19,-34.615,3.209,30.684,29.04,32.17,32.07,29.82
log_142_2026-07-25-03-14-00.ulg,2026-07-25_manual,2026-07-25T03:14:00,1,101.6,101,53.5,4728865,-21.783477783203125,5,10,-30.617,2.305,31.172,29.63,33.15,32.95,29.92
log_143_2026-07-25-06-31-52.ulg,2026-07-25_manual,2026-07-25T06:31:52,2,1.0,1,33.0,4728865,-21.783477783203125,0,0,,,,35.98,35.98,35.98,35.98
log_144_2026-07-25-06-31-54.ulg,2026-07-25_manual,2026-07-25T06:31:54,2,1.0,1,34.9,4728865,-21.783477783203125,1,0,-36.298,,35.979,35.98,35.98,35.98,35.98
log_145_2026-07-25-06-32-10.ulg,2026-07-25_manual,2026-07-25T06:32:10,2,1.0,1,50.1,4728865,-21.783477783203125,1,0,-39.455,,36.37,36.37,36.37,36.37,36.37
log_146_2026-07-25-06-33-54.ulg,2026-07-25_manual,2026-07-25T06:33:54,2,1.0,1,154.8,4728865,-21.783477783203125,1,0,-36.298,,37.64,37.64,37.64,37.64,37.64
log_147_2026-07-25-06-36-58.ulg,2026-07-25_manual,2026-07-25T06:36:58,2,1.0,1,337.7,4728865,-21.783477783203125,1,0,-38.403,,38.715,38.72,38.72,38.72,38.72
log_148_2026-07-25-06-37-00.ulg,2026-07-25_manual,2026-07-25T06:37:00,2,2.2,2,339.2,4728865,-21.783477783203125,2,0,-37.35,1.488,38.764,38.72,38.81,38.72,38.81
log_149_2026-07-25-06-37-02.ulg,2026-07-25_manual,2026-07-25T06:37:02,2,1.0,1,341.5,4728865,-21.783477783203125,1,0,-41.559,,38.813,38.81,38.81,38.81,38.81
log_150_2026-07-25-06-52-04.ulg,2026-07-25_manual,2026-07-25T06:52:04,2,1.0,1,1243.9,4728865,-21.783477783203125,1,0,-42.611,,39.204,39.2,39.2,39.2,39.2
