scope,label,x_channel,n,slope_pa_per_c,slope_ci_lo,slope_ci_hi,intercept_pa,r2,resid_sd_pa,x_span_c,note
channel,differential_pressure.temperature,t_dp,120,-1.3869,-1.5477,-1.2261,9.342,0.7119,3.932,13.19,
channel,differential_pressure.pitot_temperature,t_pitot,0,,,,,,,,레버리지 부족
channel,sensor_baro.temperature,t_baro,120,-0.7525,-0.9399,-0.565,0.804,0.3487,5.912,27.96,
channel,vehicle_air_data.ambient_temperature,t_amb,120,-1.3892,-1.5506,-1.2278,9.413,0.7112,3.937,13.19,
subset,이륙 전 지상 (프롭워시 이력 없음),t_dp,77,-1.3051,-1.4756,-1.1345,7.423,0.756,3.622,13.09,
subset,착륙 후 지상 (프롭워시 직후),t_dp,43,-1.7171,-2.0682,-1.3661,18.379,0.7042,4.05,11.24,
within_session,세션0 07-25T01:52..01:55,t_dp,6,0.2819,-3.2722,3.8361,-43.566,0.012,3.279,2.34,
within_session,세션1 07-25T03:14..03:14,t_dp,5,-0.2415,-2.6725,2.1896,-23.089,0.0322,2.618,3.22,
within_session,세션2 07-25T06:31..06:55,t_dp,13,-0.679,-1.7923,0.4342,-12.709,0.1408,1.957,3.81,
within_session,세션3 07-25T09:59..11:27,t_dp,24,-2.5614,-3.9733,-1.1495,45.27,0.3915,3.14,3.71,
within_session,세션4 07-28T10:29..10:29,t_dp,4,15.8693,-57.288,89.0266,-486.883,0.3034,3.621,0.29,
within_session,세션5 07-29T11:08..11:27,t_dp,39,1.2049,-2.7196,5.1293,-60.971,0.0104,2.538,0.98,
within_session,세션6 07-30T01:12..01:15,t_dp,17,-0.0586,-0.8055,0.6882,-42.113,0.0019,2.519,7.43,
within_session,세션7 07-30T02:56..03:02,t_dp,12,-0.1166,-1.9296,1.6963,-41.246,0.0021,2.754,3.62,
between_session,세션 평균 회귀,t_dp,8,-1.4082,-2.1814,-0.635,10.035,0.768,3.482,11.11,
hover,호버 표본 회귀,t_dp,441,-1.8104,-2.085,-1.5359,21.348,0.2767,10.114,13.19,
