file,flight_dir,wall_utc,t_rel_s,boot_s,raw_dp_pa,t_dp_c,t_pitot_c,t_baro_c,t_amb_c,p_baro_pa,sens_dpres_off_pa,device_id,motor_max,current_a,groundspeed_mps,post_flight,session
log_158_2026-07-25-09-59-06.ulg,2026-07-25_flight05,2026-07-25T09:59:06,0.81,773.8,-33.1419792175293,31.97361946105957,nan,45.82999801635742,31.97361946105957,100969.0,-21.783477783203125,4728865,0.002,0.0,0.032,0,3
log_158_2026-07-25-09-59-06.ulg,2026-07-25_flight05,2026-07-25T09:59:06,12.79,785.8,-42.61106491088867,31.97361946105957,nan,45.97999954223633,31.97361946105957,100972.0,-21.783477783203125,4728865,0.002,0.0,0.032,1,3
log_170_2026-07-25-10-23-24.ulg,2026-07-25_flight08,2026-07-25T10:23:24,0.8,329.1,-23.672893524169922,30.019540786743164,nan,45.70000076293945,30.019540786743164,100987.0,-21.783477783203125,4728865,0.002,0.0,0.048,0,3
log_170_2026-07-25-10-23-24.ulg,2026-07-25_flight08,2026-07-25T10:23:24,1.8,330.1,-29.98561668395996,30.019540786743164,nan,45.709999084472656,30.019540786743164,100983.0,-21.783477783203125,4728865,0.002,0.0,0.099,0,3
log_170_2026-07-25-10-23-24.ulg,2026-07-25_flight08,2026-07-25T10:23:24,2.8,331.1,-33.1419792175293,30.019540786743164,nan,45.73999786376953,30.019540786743164,100988.0,-21.783477783203125,4728865,0.002,0.0,0.116,0,3
log_174_2026-07-25-10-32-20.ulg,2026-07-25_flight10,2026-07-25T10:32:20,0.79,257.2,-35.246219635009766,29.531021118164062,nan,46.06999969482422,29.531021118164062,100993.0,-21.783477783203125,4728865,0.002,0.0,0.073,0,3
log_174_2026-07-25-10-32-20.ulg,2026-07-25_flight10,2026-07-25T10:32:20,34.78,291.2,-26.829256057739258,29.628725051879883,nan,45.689998626708984,29.628725051879883,100998.0,-21.783477783203125,4728865,0.002,0.0,0.085,1,3
log_190_2026-07-25-10-48-48.ulg,2026-07-25_flight14,2026-07-25T10:48:48,0.8,580.3,-25.77713394165039,28.94479751586914,nan,46.0099983215332,28.94479751586914,101010.0,-21.783477783203125,4728865,0.002,0.0,0.068,0,3
log_190_2026-07-25-10-48-48.ulg,2026-07-25_flight14,2026-07-25T10:48:48,34.79,614.2,-33.1419792175293,29.2379093170166,nan,45.78999710083008,29.14020538330078,101011.0,-21.783477783203125,4728865,0.002,0.0,0.026,1,3
log_190_2026-07-25-10-48-48.ulg,2026-07-25_flight14,2026-07-25T10:48:48,35.75,615.2,-29.98561668395996,29.2379093170166,nan,45.77000045776367,29.2379093170166,101012.0,-21.783477783203125,4728865,0.002,0.0,0.055,1,3
log_190_2026-07-25-10-48-48.ulg,2026-07-25_flight14,2026-07-25T10:48:48,36.81,616.3,-28.933496475219727,29.2379093170166,nan,45.75,29.2379093170166,101008.0,-21.783477783203125,4728865,0.002,0.0,0.071,1,3
log_196_2026-07-25-11-01-00.ulg,2026-07-25_flight16,2026-07-25T11:01:00,0.79,1309.5,-28.933496475219727,28.55398178100586,nan,45.65999984741211,28.55398178100586,101017.0,-21.783477783203125,4728865,0.002,0.0,0.061,0,3
log_196_2026-07-25-11-01-00.ulg,2026-07-25_flight16,2026-07-25T11:01:00,37.8,1346.6,-29.98561668395996,28.84709358215332,nan,45.209999084472656,28.84709358215332,101014.0,-21.783477783203125,4728865,0.002,0.0,0.061,1,3
log_196_2026-07-25-11-01-00.ulg,2026-07-25_flight16,2026-07-25T11:01:00,38.77,1347.5,-26.829256057739258,28.84709358215332,nan,45.189998626708984,28.84709358215332,101015.0,-21.783477783203125,4728865,0.002,0.0,0.095,1,3
log_196_2026-07-25-11-01-00.ulg,2026-07-25_flight16,2026-07-25T11:01:00,39.8,1348.6,-26.829256057739258,28.84709358215332,nan,45.16999816894531,28.84709358215332,101015.0,-21.783477783203125,4728865,0.002,0.0,0.069,1,3
log_201_2026-07-25-11-22-34.ulg,2026-07-25_flight17,2026-07-25T11:22:34,0.79,2569.7,-26.829256057739258,28.2608699798584,nan,43.16999816894531,28.2608699798584,101045.0,-21.783477783203125,4728865,0.002,0.0,0.069,0,3
log_201_2026-07-25-11-22-34.ulg,2026-07-25_flight17,2026-07-25T11:22:34,69.79,2638.7,-29.98561668395996,28.84709358215332,nan,42.439998626708984,28.84709358215332,101041.0,-21.783477783203125,4728865,0.002,0.0,0.122,1,3
